,mean,std,median,mean_benign,std_benign,median_benign
size,95808.25092,484421.1956,4643,334767.9308,612168.536,215486.5
similarity_score,61.40171521,24.87923966,67.8373852,29.07333989,15.17168047,29.0955011
num_forms,0.392900857,0.846618725,0,0.984741784,2.066691141,1
has_login_form,0.067319461,0.250727934,0,0.022300469,0.147745657,0
num_scripts,5.986536108,11.31147972,1,31.1443662,33.89593605,20
has_external_scripts,0.286413709,0.452361982,0,0.820422535,0.384060573,1
num_hyperlinks,13.60097919,143.3863556,1,178.5657277,320.7848251,79
num_external_hyperlinks,10.86780906,141.126081,1,102.0387324,200.2688784,22
num_js_events,0,0,0,0.001173709,0.034259435,0
isPhishing,1,0,1,0,0,0
@,0.011015912,0.104440953,0,0,0,0
?,0.135862913,0.353413357,0,0,0,0
-,0.783353733,1.246885144,0,0.01056338,0.102294071,0
=,0.358629131,1.277598114,0,0,0,0
.,2.134638923,0.764716498,2,2.102112676,0.302974283,2
#,0.017135863,0.129857095,0,0,0,0
%,0.035495716,0.42294866,0,0,0,0
+,0.00122399,0.034985571,0,0,0,0
$,0,0,0,0,0,0
!,0,0,0,0,0,0
*,0,0,0,0,0,0
",",0,0,0,0,0,0
//,1.007343941,0.085433843,1,1,0,1
digits,4.348837209,8.42335553,1,0.084507042,0.438879426,0
url_len,55.90208078,43.63235115,42,23.34507042,3.252505009,23
https,0.855569155,0.351741397,1,1,0,1
letters,42.68910649,33.62168843,33,18.14788732,3.238532366,18
Shortining_Service,0.036719706,0.188187982,0,0.085680751,0.280056451,0
having_ip_address,0,0,0,0,0,0
